latitude,longitude,altitude,bearing
13.07067,80.18321,14.0,248.56891060523049
13.07032,80.18252,14.0,242.49240145419998
13.07026,80.18239,14.0,244.64779481988316
13.07002,80.18191,14.0,242.82873770064737
13.0698,80.18162,14.0,232.08873493795426
13.06955,80.18128,14.0,232.9527866424823
13.06929,80.18083,12.0,239.3260886792941
13.06878,80.18012,12.0,233.59464509375118
13.06856,80.17981,14.0,233.92493922359404
13.06847,80.17967,14.0,236.57721643442216
13.06802,80.17902,14.0,234.59812589674414
13.06782,80.17868,14.0,238.87335253106235
13.0677,80.17843,14.0,243.76775487399374
13.06766,80.17833,14.0,247.6752953402167
13.06765,80.17831,14.0,242.82892005269449
13.06758,80.17809,14.0,251.91088878477535
13.06753,80.17781,14.0,259.61198951392413
13.0675,80.17731,14.0,266.47537334581006
13.06748,80.17687,21.0,267.32839998902324
13.06747,80.17674,21.0,265.48485175766393
13.06745,80.17653,21.0,264.4159689873541
13.06744,80.17637,21.0,266.3288677745055
13.06732,80.17599,21.0,252.03816405783502
13.06713,80.17563,21.0,241.55086764683978
13.06684,80.17519,21.0,235.9173436222996
13.06659,80.17485,15.0,232.9531170220401
13.06629,80.17442,15.0,234.38911555676407
13.06612,80.17418,15.0,233.9768829667174
13.06601,80.17403,15.0,233.02670854495787
13.06564,80.17348,15.0,235.37085576128692
13.06545,80.17321,15.0,234.1554856343272
13.06541,80.17315,15.0,235.61290750016877
13.06518,80.1728,14.0,235.99618746816407
13.06514,80.17273,14.0,239.6035299146241
13.06451,80.17178,14.0,235.7538591764535
13.06443,80.17165,14.0,237.71792728242391
13.06437,80.17154,14.0,240.75345872548905
13.06436,80.17152,14.0,242.82923022611857
13.06425,80.17122,14.0,249.37323091794502
13.06423,80.17118,14.0,242.8292442766641
13.06418,80.17088,14.0,260.291019886692
13.06415,80.17052,17.0,265.110433992458
13.06416,80.17023,17.0,272.0273978107207
13.06417,80.16983,17.0,271.47017594642847
13.06415,80.1692,17.0,268.13348939540884
13.06414,80.16881,17.0,268.49223498658733
13.06405,80.16846,15.0,255.21269505792003
13.06391,80.16815,15.0,245.12703071611799
13.06366,80.16782,15.0,232.12770628896197
13.06356,80.16768,15.0,233.7488077386135
13.0634,80.16749,15.0,229.15733673828328
13.06325,80.1673,15.0,230.9770745329214
13.06316,80.16719,15.0,229.9725152227573
13.0624,80.16633,16.0,227.7858934250585
13.06231,80.16623,16.0,227.26497184633192
13.06199,80.16593,16.0,222.40369425014077
13.06198,80.16592,16.0,224.24909749607963
13.0617,80.16565,16.0,223.20837054149027
13.06159,80.16549,16.0,234.78711241130696
13.06153,80.16541,16.0,232.40663340366396
13.06142,80.16515,16.0,246.52407640907762
13.06131,80.16483,16.0,250.56314405846723
13.06127,80.16462,16.0,258.93629295326383
13.06125,80.16453,16.0,257.1493727955183
13.06125,80.16449,16.0,270.00000452012955
13.06125,80.16385,16.0,270.0000723176878
13.06125,80.16298,16.0,270.00009830670894
13.06127,80.16174,13.0,270.9487219233315
13.0613,80.1605,13.0,271.42285051168244
13.06136,80.15983,15.0,275.25254775259555
13.06141,80.15941,15.0,276.9675780096685
13.06142,80.15933,15.0,277.3122348138441
13.06144,80.15921,15.0,279.70892055096056
13.06151,80.15866,15.0,277.44376140177945
13.06153,80.15849,15.0,276.8863742848091
13.06154,80.15833,16.0,273.67108076309125
13.06155,80.15818,16.0,273.9150798847617
13.06155,80.15801,16.0,270.0000192095765
13.06154,80.15785,16.0,266.3289552503228
13.06151,80.15767,16.0,260.29110968489226
13.06148,80.15754,16.0,256.67243765765755
13.06142,80.1574,16.0,246.25273877269032
13.06137,80.15727,16.0,248.45440847943416
13.06115,80.15688,16.0,239.92559618218547
13.06101,80.15662,16.0,241.06789502024247
13.06099,80.15657,16.0,247.67583436167945
13.06096,80.15652,16.0,238.36967174331102
13.06088,80.15635,16.0,244.2155047883797
13.06072,80.15603,11.0,242.8296001625177
13.06064,80.15585,11.0,245.47532117746948
13.06058,80.15564,11.0,253.65352949528923
13.06052,80.15541,11.0,255.00816251512674
13.0605,80.15517,11.0,265.11049244002766
13.06049,80.15495,11.0,267.3284506806524
13.06049,80.1548,11.0,270.00001694867973
13.0605,80.15466,11.0,274.19374369181196
13.06051,80.15462,11.0,284.3936819014532
13.06054,80.1544,11.0,277.96877984560706
13.06061,80.15402,12.0,280.7083585300107
13.06079,80.15298,12.0,280.0749022687256
13.06084,80.15278,12.0,284.3937172940589
13.0609,80.15256,12.0,285.6406745522686
13.06097,80.15239,12.0,292.9137917286736
13.06102,80.15227,12.0,293.15796298319816
13.06105,80.15219,12.0,291.0546654184186
13.06112,80.15206,18.0,298.93214953791784
13.06122,80.15185,18.0,296.05111987689344
13.06138,80.15155,18.0,298.70063912568725
13.06141,80.15148,18.0,293.74728025665934
13.06144,80.15143,18.0,301.6303861660465
13.06174,80.15083,18.0,297.1705782503554
13.06179,80.15074,18.0,299.69660724619797
13.06185,80.15063,18.0,299.24631095066644
13.06189,80.15051,18.0,288.89028695597545
13.06192,80.1504,18.0,285.6407244665756
13.06196,80.1502,18.0,281.602313199553
13.06198,80.15003,18.0,276.88638671343966
13.06199,80.14987,16.0,273.6710874337905
13.06199,80.14962,16.0,270.00002825059016
13.06199,80.14957,16.0,270.00000565146496
13.06198,80.14931,16.0,267.7389877121209
13.06193,80.14748,20.0,268.3935894443032
13.06192,80.14721,20.0,267.8226495039594
13.0619,80.14691,20.0,266.08496519629534
13.06186,80.14659,20.0,262.6877967690591
13.06183,80.14637,20.0,262.0312278286532
13.06181,80.14619,20.0,263.4928563280098
13.06168,80.14514,15.0,262.75678042737053
13.06167,80.14504,15.0,264.1387882764797
13.06167,80.14502,15.0,270.00000225889937
13.0616,80.14448,15.0,262.42009909717075
13.06154,80.14396,15.0,263.24489660818045
13.06151,80.14352,16.0,265.9962945796484
13.06144,80.1426,16.0,265.53392731756423
13.06139,80.14193,16.0,265.6192681335416
13.06137,80.14165,13.0,265.806288792572
13.06133,80.14112,13.0,265.5698557623636
13.06129,80.14058,13.0,265.65158078137097
13.06126,80.14004,13.0,266.73596072984924
13.06124,80.13943,16.0,268.07235585876356
13.06122,80.13901,16.0,267.20144481039233
13.06121,80.13876,16.0,267.6486518037087
13.0612,80.13856,16.0,267.0617295014764
13.06119,80.13839,16.0,266.544366549819
13.06113,80.13737,18.0,266.54446308425565
13.06109,80.13689,18.0,265.11050773957425
13.06106,80.13661,18.0,263.72339636753384
13.06103,80.13638,18.0,262.3735540185198
13.06099,80.13618,18.0,258.3977745050587
13.06093,80.13594,18.0,255.60632432370963
13.06088,80.13575,18.0,254.88262431333692
13.06083,80.1356,18.0,251.10981568282406
13.06073,80.13532,17.0,249.86572266457577
13.06064,80.13509,17.0,248.11490947780834
13.06052,80.13482,17.0,245.47534010730675
13.06048,80.13472,17.0,247.67588076650912
13.06047,80.13471,17.0,224.24927258684536
13.06043,80.1346,17.0,249.52977991569037
13.06024,80.13421,16.0,243.429668219757
13.0602,80.1341,16.0,249.52979739668513
13.06004,80.13376,16.0,244.21559668575625
13.05957,80.13272,20.0,245.11246850834942
13.05953,80.13262,20.0,247.67595819861054
13.05908,80.13158,20.0,246.05026898589284
13.05825,80.1297,17.0,245.6197169159705
13.05813,80.12942,17.0,246.25303333046804
13.058,80.12913,18.0,245.28931510011267
13.05788,80.12891,18.0,240.7541100093886
13.05779,80.12876,18.0,238.37000827485025
13.05772,80.12863,18.0,241.0682068760084
13.05763,80.12851,18.0,232.40707353154932
13.05756,80.12839,18.0,239.08613592276143
13.05746,80.12826,18.0,231.70369636671637
13.05744,80.12823,18.0,235.61376697335385
13.05734,80.1281,18.0,231.7037099001563
13.0573,80.12804,18.0,235.61378442797292
13.0572,80.12791,18.0,231.70372569447045
13.05659,80.12717,18.0,229.76212242427775
13.05533,80.12562,17.0,230.15603901169482
13.05518,80.12542,17.0,232.40735384184353
13.05508,80.12527,17.0,235.61403129170213
13.05501,80.12513,17.0,242.8301220664873
13.05495,80.12497,23.0,248.94583253328005
13.0549,80.12482,23.0,251.11023697034472
13.05486,80.12467,23.0,254.6908107301811
13.05477,80.1243,23.0,255.98014940621928
13.0546,80.12354,23.0,257.06807094613
13.05454,80.12327,23.0,257.1497295702525
13.0545,80.12307,23.0,258.3980710310833
13.05448,80.1229,19.0,263.11385820868065
13.05448,80.12273,19.0,270.00001919967343
13.05448,80.12258,19.0,270.00001694078475
13.0545,80.1224,19.0,276.5069929176883
13.05452,80.12227,19.0,278.9744839337493
13.05455,80.1221,19.0,280.26793436928375
13.05458,80.122,19.0,287.1167022727116
13.0546,80.12192,19.0,284.39335610618525
